ham	Supporting evidence for Apple iPhone 15 Pro claim I would like to submit a claim for my Apple iPhone 15 Pro. The incident happened on 08 January 2025 in Manchester. I have attached the purchase receipt, serial number photo, and incident photographs. The item was bought from Currys on 10 October 2024 for GBP 949. Please let me know if you need any further information.
ham	Repair assessment attached for Galaxy Z Fold5 I am reporting electrical fault affecting my insured foldable smartphone. The item was purchased from Argos for about GBP 1644, and the event took place on 12 January 2025. I have included the invoice and repair assessment from Manufacturer Repair Hub for review.
ham	Follow-up documents for gadget claim Please find the supporting information for my Pixel 8 Pro claim. The damage was noticed on 16 January 2025 after the incident in Manchester. I can provide the original box, serial number GOOG2025010139, and retailer receipt if required.
ham	Urgent help needed with iPad Pro 12.9 repair claim I need to open a claim for my tablet under my gadget equipment policy. The details are attached, including proof of ownership, photographs of the damaged equipment, and a repair quote. The incident date was 20 January 2025.
ham	Receipt query for Wacom Cintiq Pro 16 Could this be reviewed as soon as possible please? I use my Cintiq Pro 16 for work and need to know whether repair or replacement is covered. I have the serial number WACO2025010141, photographs, and the Currys order confirmation, but I may need a little time to locate the original PDF receipt.
ham	Claim evidence update for laptop I am worried because the laptop stopped working after water damage on 28 January 2025. I changed bank accounts recently for normal billing, but I am happy for any settlement to follow the standard claims process. The repair quote from Team Knowhow is attached.
ham	Supporting evidence for ASUS ROG Zephyrus G16 claim This is an urgent claim because the ROG Zephyrus G16 is used for my coursework and the screen is unusable. I have uploaded photos and can send the receipt from Currys; the purchase was GBP 2569 on 05 August 2024.
ham	Repair assessment attached for MacBook Pro 16 I cannot find the box for my Apple MacBook Pro 16, but the device is registered to my account and the serial number is APPL2026010144. The incident happened on 05 February 2025 in Glasgow. Please advise what evidence is still needed.
ham	Follow-up documents for gadget claim I would like to submit a claim for my Lenovo ThinkPad X1 Carbon. The incident happened on 09 February 2025 in Manchester. I have attached the purchase receipt, serial number photo, and incident photographs. The item was bought from Currys on 14 July 2024 for GBP 1759. Please let me know if you need any further information.
ham	Urgent help needed with Z2 Tower G9 repair claim I am reporting malicious damage affecting my insured desktop workstation. The item was purchased from Argos for about GBP 2799, and the event took place on 13 February 2025. I have included the invoice and repair assessment from Authorised Service Centre for review.
